word	count
კატეგორია	598544
წლის	242173
წელს	205396
იყო	151835
რომელიც	113872
რომ	111530
მისი	96048
შემდეგ	94169
რესურსები	87541
ინტერნეტში	86901
საქართველოს	75049
იგი	69441
სქოლიო	67755
მიხედვით	67170
თარგი	65631
როგორც	63737
ერთ	62272
ერთი	60984
არის	58916
პირველი	58117
დიდი	55981
ასევე	54834
წლებში	53443
შორის	52102
ხოლო	51281
სხვა	50091
დაბადებული	49144
აგრეთვე	48345
ლიტერატურა	47696
მას	47516
მათ	44328
გადამისამართება	42880
მიერ	41753
ფაილი	41115
მდებარეობს	40716
ეროვნული	40682
მეორე	39719
ახალი	39164
დროს	38964
მაგრამ	38437
თუმცა	37684
მან	37658
მოსახლეობა	37469
ყველაზე	36747
საუკუნის	36433
სადაც	35578
მსოფლიო	35279
გახდა	35146
მის	34728
სამხრეთ	34726
სახელმწიფო	34502
ერთად	34298
აქვს	32898
იხილეთ	32834
აშშ	32407
რაც	32237
მხოლოდ	31797
რაიონი	31761
შესახებ	31665
გარდაცვლილი	30621
ქართველი	30074
ისტორია	30019
მოსახლეობის	29733
ეკლესია	29682
წლიდან	29622
ორი	29052
უფრო	28242
ქართული	27918
რომლებიც	27734
რუსეთის	27663
უნდა	27433
ქალაქი	27351
ქვეყნის	26247
რომლის	25753
დაიწყო	25425
საერთაშორისო	25355
მეფე	24881
ყველა	24797
სოფელი	24791
წელი	24690
მონაცემებით	24585
გამო	24507
სხვადასხვა	24260
რომელსაც	24229
აღწერის	24087
ზღვის	24055
რამდენიმე	23977
მიიღო	23828
საბჭოთა	23818
იანვარი	23485
თავის	23209
მინი	23195
მათი	23073
თავისი	22731
ადამიანი	22538
სამხედრო	22511
ნაწილი	22269
როდესაც	22221
ალბომები	22213
მუნიციპალიტეტის	22102
სოფლები	21997
მუნიციპალიტეტი	21743
მთავარი	21674
თბილისის	21604
მარტი	21547
დეკემბერი	21109
საუკეთესო	21088
ოფიციალური	20979
ფართობი	20886
ოქტომბერი	20793
მდინარე	20401
ჩრდილოეთ	20336
საქართველოში	20043
თებერვალი	19995
სექტემბერი	19902
სია	19882
ნოემბერი	19754
მაისი	19698
ცნობილი	19385
დასავლეთ	19372
აღმოსავლეთ	19316
აპრილი	19187
შეიძლება	19155
ადამიანს	18987
ისინი	18861
ევროპის	18717
აგვისტო	18703
ივლისი	18677
სახელი	18667
გიორგი	18501
ივნისი	18255
რაიონის	18052
ომის	18030
ამერიკელი	17535
ქალაქის	17401
წმინდა	17343
რესპუბლიკის	17343
სამეფო	17200
წევრი	17177
შედის	17146
ძველი	17025
ქალაქ	16995
ფეხბურთელები	16866
პოლიტიკური	16865
კიდევ	16742
განმავლობაში	16618
მცირე	16604
თბილისი	16491
წლების	16441
