word	count
და	2530
არ	778
რა	438
მე	378
თუ	307
მას	248
ჩემი	244
ვითა	232
ვერ	220
იგი	210
აწ	195
არა	187
შენ	171
რად	163
ესე	155
ნუ	149
კვლა	145
მისი	142
რაცა	142
ვით	134
მათ	130
ვინ	124
მაგრა	121
მზე	117
ავთანდილ	116
მან	116
შენი	115
გული	111
უთხრა	109
მეფე	108
მუნ	100
გულსა	100
კაცი	93
მის	93
მართ	92
რომე	90
ყმა	88
ზედა	87
ჩემგან	87
თავი	86
ვარ	85
მით	83
ანუ	80
ჩემსა	78
ვერა	77
იყო	76
ტარიელ	74
მზისა	70
ამბავი	70
საქმე	69
ასრე	69
პირსა	66
რას	66
არცა	66
თავსა	66
ჩვენ	66
ქალი	65
თქვა	65
ამას	65
თქვენი	63
წინა	61
არის	61
ერთი	60
თვით	60
ხარ	60
ღმერთმან	60
სრულად	56
ვარდი	56
უბრძანა	56
მისგან	55
ფრიდონ	55
იტყვის	54
დღე	54
მეტად	53
სიტყვა	52
ცრემლი	52
კაცსა	52
თქვენ	51
ვიცი	51
ჩემთვის	51
ამა	51
აქა	51
სხვა	51
მათი	50
მისსა	50
შიგან	49
ვინცა	49
თანა	49
ხელი	49
მონა	49
არს	49
შენგან	48
ღმერთსა	48
თუცა	48
მისთა	48
ამად	48
რათგან	47
ცრემლთა	46
მერმე	46
ვის	44
რამე	44
მაშინ	44
დიდი	44
ხამს	44
მითხრა	43
მისთვის	42
გულ	42
ყმამან	42
ყველაი	42
ცეცხლი	42
მეფემან	42
უფრო	42
დია	41
ერთგან	41
სიცოცხლე	41
მზესა	40
სჯობს	40
პირ	40
ჩემად	40
პირი	39
ვა	39
ფატმან	39
მეფესა	39
ეტყვის	39
ხმა	39
გულისა	37
ოდენ	37
ლხინი	37
ჩემთა	37
ახლოს	37
ჰკადრა	36
თავისა	36
აგრე	35
მსგავსი	35
ბრძანა	34
თვალთა	34
ასმათ	34
ჭირი	34
ავთანდილს	34
სად	34
ოდეს	34
შინა	33
შენთვის	33
ვარდსა	33
ერთმანერთსა	33
ვერცა	32
აღარ	32
უნდა	32
მთვარე	31
მისისა	31
ვთქვი	31
მზეო	31
პირველ	31
ვერას	31
ჩემნი	31
ნახვა	31
ღმერთი	30
გლახ	30
ყმისა	30
ერთსა	29
კიდე	29
მარგალიტი	29
ქალსა	29
ჭირსა	29
სისხლი	29
წინაშე	29
ლაშქართა	29
არას	29
მეფეო	28
მისად	28
ცუდად	28
ჭირთა	28
აღარა	28
გარე	28
აქათ	28
ადრე	28
ვნახე	27
ლაშქარნი	27
ქვე	27
მოვიდა	27
ვუთხარ	27
ორნივე	27
სადა	27
ჰქონდა	27
რასმე	27
მეტი	27
ეგე	27
ზოგჯერ	27
წიგნი	26
ტარიელს	26
მოვიდეს	26
ნახა	26
ცრემლსა	26
მინდორს	26
ყოვლი	26
აჰა	26
გულითა	26
მეფისა	26
გინდა	26
ყოლა	26
დარბაზს	26
საქმესა	25
ეგრე	25
ფრიდონს	25
ქალმან	25
ჩვენი	25
ცხენსა	25
ყმასა	25
თქვეს	25
მისცა	25
ველთა	24
ცრემლნი	24
ვისგან	24
თვალნი	24
ღა	24
მოახსენა	24
სიკვდილი	24
ნუთუ	24
ენა	24
ნახეს	24
მხიარული	24
მეცა	24
ჰე	23
ადგა	23
წავიდა	23
კვლაცა	23
გარდახდა	23
ტირს	23
მიკვირს	23
რამცა	23
ღმერთო	23
რასა	23
თავის	23
სიყვარული	23
მარტო	22
ქმნა	22
მათთა	22
მზემან	22
იქით	22
იცის	22
შეჯდა	22
ამბავსა	22
სისხლისა	22
სპანი	22
ყველაკაი	22
მათნი	22
ხელ	22
ვეღარ	22
კარგი	21
ისი	21
ან	21
გზა	21
ფიცხლად	21
მადლი	21
ქმნას	21
მივა	21
აქვს	21
დღეს	21
ერთმანერთი	21
ზის	21
ცხენი	21
მაქვს	21
ჩემისა	21
მჭვრეტელთა	21
ცეცხლთა	21
კაცთა	21
ქება	21
სულთა	20
მოდი	20
ტანსა	20
ხართ	20
ქალაქი	20
სული	20
თქვენსა	20
ვინმე	20
ყოველი	20
ვისცა	20
ვიყავ	20
დღესა	20
ინდოეთს	20
საჭურჭლე	19
შენცა	19
რასაცა	19
ცრემლითა	19
ნავი	19
შორს	19
სწორად	19
ცრემლისა	19
უცხო	19
ამოდ	19
თაყვანი	19
არად	19
რაზომცა	19
შუქნი	19
ბროლ	19
ამის	19
ღამე	19
სიტყვითა	18
ამბისა	18
მეტსა	18
ღმრთისა	18
სოფლისა	18
იქმს	18
დაჯდა	18
ალვისა	18
ლომი	18
მიბრძანა	18
აქამდის	18
საქმისა	18
კაცისა	18
მისნი	18
კაცნი	18
მოყმე	18
შეიქმნა	18
ღამით	18
მიჰხვდა	18
ქაჯეთს	17
სიკვდილსა	17
პირითა	17
ხელმწიფე	17
მათგან	17
წა	17
სმა	17
ყელსა	17
მტერთა	17
მაგა	17
იცი	17
ჰგვანდა	17
ფრიდონის	17
იყვნეს	17
პასუხი	17
ხელითა	17
შენთა	17
ამისთვის	17
ზეცით	16
ძალი	16
მისმან	16
მონანი	16
შენსა	16
შუქი	16
საწოლს	16
ყოვლგნით	16
გითხრა	16
მრავალი	16
ინდოთა	16
წამალი	16
თვარა	16
ჟამი	16
საუბარი	16
ვქმნა	16
ხანი	16
მეტის	16
მასვე	16
ფერ	16
სახლი	16
რომელი	16
თუმცა	16
მივე	16
შუქთა	16
სხვად	16
მართლად	16
ლომსა	16
შენისა	16
სადმე	16
ვისი	16
გონება	16
ტურფა	16
ტანი	16
შევე	15
ჰმართებს	15
კარსა	15
სამ	15
მო	15
მეფეთა	15
სცა	15
მინდა	15
მოვკვდე	15
მათისა	15
საყვარელსა	15
ეგების	15
მათსა	15
ზღვასა	15
მათად	15
მიჯნურობა	15
სოფელი	15
უშენოდ	15
აბჯარი	15
თურე	15
გიშრისა	15
ხელსა	15
ხელთა	15
მითხარ	15
ორთავე	15
მჭვრეტთა	15
ცნობა	14
ყოველთა	14
მოვა	14
შვილი	14
მჭირს	14
სულ	14
ვჰკადრე	14
კარგად	14
იქმნების	14
ორნი	14
პატიჟთა	14
აქანამდის	14
ბრძენთა	14
ნაცვლად	14
გახდა	14
ჭირნი	14
ლაღი	14
ნეტარ	14
ვეჭვ	14
მართალი	14
პატრონი	14
პირისა	14
თვითო	14
მუნით	14
ვარდისა	14
რაგვარ	14
მოვალ	14
ამით	14
ძალ	14
ზღვათა	14
მიწყივ	14
წყალი	14
ვიქმ	14
ბრძენი	14
სით	14
მოყვარე	14
ვინმცა	13
ცისა	13
ჩემო	13
ენითა	13
იყოს	13
სხვაგან	13
მინა	13
ბოლოდ	13
ცხელი	13
სამთავე	13
დაო	13
გათენდა	13
ხრმალი	13
წამოვიდა	13
ხმელთა	13
ჰკადრეს	13
საწუთროსა	13
ღონე	13
ზღვა	13
მომკალ	13
თქმა	13
სიტყვანი	13
თინათინ	13
ვისთვის	13
მქონდა	13
ფერად	13
მიჰხვდეს	13
ქმნილსა	13
კმა	13
დღენი	13
ბროლი	13
ყოვლთა	13
ლომო	13
გითხრობ	13
სპათა	13
რაღა	13
სოფელმან	12
დიდსა	12
რაც	12
ძნელია	12
უც	12
სხვასა	12
ერთობ	12
შუა	12
ესმა	12
სადაცა	12
სახლსა	12
ალვა	12
ავი	12
თავნი	12
არე	12
გმართებს	12
შესხდეს	12
ძმა	12
წავალ	12
ვირე	12
თქვენგან	12
ლხინად	12
მონათა	12
ვართ	12
გკადრებ	12
ათასი	12
კაცმან	12
ფერი	12
ცა	12
უსენ	12
ასი	12
უშენოსა	12
ყველასა	12
გზასა	12
მიჯნური	12
დასხდეს	12
შორით	12
გაეხარნეს	12
სამეფო	12
ხანსა	12
ქაჯთა	12
ატირდა	12
ეუბნების	12
ასმათს	12
წყნარად	12
ვიტყვი	12
იმა	12
ხმასა	12
არვისგან	11
ტახტსა	11
თვალთაგან	11
ვეფხი	11
წყლულსა	11
მკერდსა	11
ომი	11
დაღრეჯით	11
მკვდარი	11
ჰკადრე	11
ტკბილად	11
ზე	11
მივიდეს	11
უცილოდ	11
არვის	11
ჯდა	11
ამისი	11
ვაზირი	11
მიც	11
ზღვის	11
ძმად	11
თქვენთა	11
დება	11
ეგრეცა	11
ასმათი	11
განაღამცა	11
უძღვნა	11
საქმენი	11
ძღვენი	11
დიდებულნი	11
ჰგვანდეს	11
მთვარისა	11
ქმნილი	11
ცრემლ	11
დღისით	11
სდის	11
ბროლისა	11
ერთ	11
ფიცი	11
ტახტი	11
წასლვა	11
მისცეს	11
ღმრთისაგან	11
მესმა	11
ღაწვთა	11
ავთანდილის	11
ქალისა	11
რამაზ	11
არვინ	11
თვალი	11
ერთხელ	11
მოსლვა	11
დიდად	11
იგია	11
ბედი	11
მემცა	11
ჰგავს	10
შექმნეს	10
ცნა	10
მალვით	10
ვიყო	10
თავ	10
ტანად	10
ხელისა	10
სულსა	10
იარეს	10
შერმადინ	10
წადი	10
შეყრა	10
ძირსა	10
კარნი	10
უსტარი	10
წავიდეს	10
მაგას	10
მოყვრისა	10
მიჩნს	10
მზეებრ	10
ვისმცა	10
გვერდსა	10
ოქრო	10
პირად	10
ძლივ	10
ელვათა	10
ყველაკასა	10
ლხინსა	10
ფატმანს	10
გაყრა	10
მივიდა	10
სხვანი	10
იცნა	10
ეს	10
მივალ	10
სახე	10
შესთვალა	10
ვარგა	10
დედოფალი	10
ელვა	10
მტირალი	10
ვცან	10
ჰაი	10
მხიარულნი	10
ჯარი	10
ქვეყანა	10
მზედ	10
დღეთა	10
ზღვისა	10
ბნელი	10
პოვნა	10
ხორციელი	10
ყმანი	10
შავი	10
ქალაქსა	10
აკოცეს	10
წყლისა	10
თვალისა	10
გკადრო	10
სრული	9
რომ	9
წავე	9
სიტყვასა	9
ბუკსა	9
სინათლე	9
ძეს	9
გაემართნეს	9
ახლავს	9
ვაგლახ	9
ოქროსა	9
ჩემმან	9
ჭვრეტა	9
შუქ	9
ტურფად	9
დგა	9
ცნობასა	9
საძებრად	9
რადმცა	9
შენნი	9
მუნვე	9
მი	9
წადით	9
ვითამცა	9
ედემს	9
ვთქვა	9
თათბირი	9
ჭვრეტად	9
იყავ	9
ქაჯნი	9
ხრმალთა	9
ძნელად	9
გიშერი	9
ხე	9
ითქმის	9
გულმან	9
სიახლე	9
ვარქვი	9
ყოვლისა	9
უმისოდ	9
ნიადაგ	9
თქვენს	9
ლომისა	9
რითა	9
მისითა	9
არაბთა	9
მოახსენეს	9
რომელსა	9
ღარიბი	9
გრძელი	9
ვერვინ	9
შევიდეს	9
ზარი	9
სისხლთა	9
რაზმი	9
ებრძანა	9
მივეც	9
დიდნი	9
გასცა	9
ფერითა	9
მითხრეს	9
ხრმალსა	9
იცოდა	9
მიწა	9
მყოფი	9
არაბეთს	9
მხეცთა	9
ცუდი	9
ტარიას	9
პატრონისა	9
ჩვენნი	9
ჩვენგან	9
სავსე	9
სიყვარულსა	9
ჩანს	9
ძმაო	9
