word	count
და	925227
კატეგორია	598544
წლის	242173
წელს	205396
იყო	151835
ის	148332
რომელიც	113872
რომ	111530
მისი	96048
შემდეგ	94169
რესურსები	87541
ინტერნეტში	86901
ამ	84848
არ	84316
საქართველოს	75049
იგი	69441
სქოლიო	67755
მიხედვით	67170
თარგი	65631
ს	64063
როგორც	63737
ეს	63550
ერთ	62272
ერთი	60984
არის	58916
პირველი	58117
კი	57288
დიდი	55981
წ	55149
ასევე	54834
წლებში	53443
კმ	52102
შორის	52102
ხოლო	51281
სხვა	50091
დაბადებული	49144
აგრეთვე	48345
ლიტერატურა	47696
მას	47516
ან	46002
მათ	44328
გადამისამართება	42999
მიერ	41753
ფაილი	41115
დ	40991
მდებარეობს	40716
ეროვნული	40682
მეორე	39719
ახალი	39164
დროს	38964
მაგრამ	38437
თუმცა	37684
მან	37658
მოსახლეობა	37469
ყველაზე	36747
საუკუნის	36433
სადაც	35578
მსოფლიო	35279
გახდა	35146
მის	34728
სამხრეთ	34726
სახელმწიფო	34502
ერთად	34298
გ	33661
მ	33167
ძვ	32986
აქვს	32898
იხილეთ	32834
აშშ	32407
რაც	32237
მხოლოდ	31797
რაიონი	31761
შესახებ	31665
გარდაცვლილი	30621
ქართველი	30074
ისტორია	30019
მოსახლეობის	29733
ეკლესია	29682
წლიდან	29622
ორი	29052
თუ	28982
ზე	28919
უფრო	28242
ქართული	27918
რომლებიც	27734
რუსეთის	27663
უნდა	27433
ქალაქი	27351
მე	26759
დე	26355
ქვეყნის	26247
რომლის	25753
დაიწყო	25425
საერთაშორისო	25355
მეფე	24881
ყველა	24797
სოფელი	24791
წელი	24690
მონაცემებით	24585
გამო	24507
სხვადასხვა	24260
რომელსაც	24229
აღწერის	24087
ზღვის	24055
რამდენიმე	23977
მიიღო	23828
საბჭოთა	23818
იანვარი	23485
თავის	23209
მინი	23195
მათი	23073
თავისი	22731
ადამიანი	22538
სამხედრო	22511
ნაწილი	22269
როდესაც	22221
ალბომები	22213
მუნიციპალიტეტის	22102
სოფლები	21997
მუნიციპალიტეტი	21743
მთავარი	21674
პქ	21623
თბილისის	21604
მარტი	21547
დეკემბერი	21109
საუკეთესო	21088
იმ	21077
ოფიციალური	20979
ფართობი	20886
ოქტომბერი	20793
მდინარე	20401
ჩრდილოეთ	20336
საქართველოში	20043
ე	20003
თებერვალი	19995
ში	19908
სექტემბერი	19902
სია	19882
ნოემბერი	19754
მაისი	19698
ცნობილი	19385
დასავლეთ	19372
აღმოსავლეთ	19316
აპრილი	19187
შეიძლება	19155
ადამიანს	18987
ისინი	18861
ევროპის	18717
აგვისტო	18703
ივლისი	18677
სახელი	18667
გიორგი	18501
ივნისი	18255
რაიონის	18052
ომის	18030
ამერიკელი	17535
გვ	17419
ქალაქის	17401
წმინდა	17343
რესპუბლიკის	17343
სამეფო	17200
წევრი	17177
შედის	17146
ძველი	17025
ქალაქ	16995
ფეხბურთელები	16866
პოლიტიკური	16865
კიდევ	16742
განმავლობაში	16618
მცირე	16604
თბილისი	16491
წლების	16441
მიუხედავად	16414
ფილმები	16393
დაახლოებით	16319
იქნა	16253
შუა	16218
პერიოდში	16140
შემადგენლობაში	16134
შეადგენდა	15978
მუნიციპალიტეტები	15923
მონაცემები	15907
საფეხბურთო	15821
რაიონში	15821
დონიდან	15580
ვერ	15521
აქ	15492
უმაღლესი	15331
საიტი	15192
გარდაიცვალა	15161
რომელმაც	15046
ჰქონდა	15001
ადგილი	14944
ამის	14914
ეკლესიის	14893
არა	14795
ქალაქები	14677
წინააღმდეგ	14661
საფრანგეთის	14618
თბ	14604
ადმინისტრაციული	14575
სამი	14574
კაცი	14554
დაიბადა	14200
შედეგად	14195
ძირითადი	14192
წარმოადგენს	14181
ქალი	14078
ხშირად	13988
თარიღი	13954
გარდა	13686
პირველ	13520
უნივერსიტეტის	13500
ა	13459
უკვე	13298
ტიპის	13264
საბჭოს	13167
მიეკუთვნება	13157
ბიოგრაფია	13149
წლამდე	13139
ფილმი	13107
ალბომი	13075
ჯერ	13069
თანამედროვე	13068
რის	13068
პროვინციის	13027
მესამე	13024
მოგვიანებით	12911
იან	12838
აზერბაიჯანის	12733
ძირითადად	12715
მეტი	12606
ცენტრი	12599
იყვნენ	12498
მნიშვნელოვანი	12483
ალექსანდრე	12473
საკუთარი	12322
ნაწილში	12301
შეადგენს	12278
კავშირის	12170
არიან	12138
იანი	12056
რადგან	11997
პირველად	11995
ძალიან	11971
საერთო	11953
რომის	11829
ტერიტორიაზე	11810
პროვინცია	11631
მთელი	11625
სახელობის	11601
გამოვიდა	11577
არსებობს	11552
სამეცნიერო	11545
დიდ	11499
ზაფხულის	11448
ძე	11417
ქვეყნების	11400
ია	11344
მარია	11340
ამერიკის	11336
ოლქი	11269
პატარა	11261
საუკუნეში	11138
ამავე	11128
ჩრდილო	11114
მუნიციპალიტეტში	11076
სიმღერა	10958
საშუალო	10773
ძეგლები	10762
თამაშებზე	10742
სოფელ	10710
მუშაობდა	10658
რაოდენობა	10635
ცნობილია	10544
ჯგუფის	10533
ინსტიტუტი	10443
მარცხნივ	10440
კლასის	10432
ენა	10401
ძეგლი	10393
ჯონ	10387
სწორედ	10379
ისტორიული	10358
მემკვიდრეობის	10345
დავით	10308
გერმანიის	10277
ცენტრალური	10250
მდე	10238
ბრაზილიის	10234
დღეს	10209
რა	10188
სოფლის	10167
შეიქმნა	10147
ჩარტი	10088
მოიცავს	10082
ორ	10081
